time,latitude,longitude,acceleration,light,temperature,sound,temperature probe,altitude
06/28/2010 16:27:12,42.64917,-71.3245,1.02,931.31,27.66,10,30.882577986184210526315789473684211,37
06/28/2010 16:27:13,42.649082,-71.32266,0.82,565.74,27.66,14,30.882577986184210526315789473684211,37
06/28/2010 16:27:14,42.649,-71.321,0.86,726.84,27.66,5,30.882577986184210526315789473684211,37
06/28/2010 16:27:15,42.64892,-71.319336,0.90,751.93,27.66,5,30.882577986184210526315789473684211,37
06/28/2010 16:27:16,42.648838,-71.32667,0.78,879.98,27.66,14,30.882577986184210526315789473684211,37
06/28/2010 16:27:17,42.648666,-71.31643,1.17,996.93,27.66,20,30.882577986184210526315789473684211,37
06/28/2010 16:27:18,42.648582,-71.31627,0.94,1034.13,27.66,18,30.882577986184210526315789473684211,37
06/28/2010 16:27:19,42.648502,-71.31609,0.86,465.20,27.66,17,30.882577986184210526315789473684211,37
06/28/2010 16:27:20,42.64843,-71.31595,0.82,475.08,27.66,13,30.882577986184210526315789473684211,38
06/28/2010 16:27:21,42.648365,-71.31578,0.86,864.23,27.66,23,30.882577986184210526315789473684211,39
06/28/2010 16:27:23,42.6483,-71.31562,0.78,1036.60,27.66,14,30.882577986184210526315789473684211,39
06/28/2010 16:27:24,42.64825,-71.31543,0.82,1034.95,27.66,14,30.882577986184210526315789473684211,39
06/28/2010 16:27:25,42.6482,-71.31527,0.86,856.22,27.66,15,30.882577986184210526315789473684211,38
06/28/2010 16:27:26,42.648186,-71.31508,0.74,1031.64,27.66,10,30.882577986184210526315789473684211,38
06/28/2010 16:27:27,42.64815,-71.3149,0.94,1029.14,27.66,8,30.882577986184210526315789473684211,38
06/28/2010 16:27:28,42.648136,-71.31471,0.98,1007.65,27.66,10,30.882577986184210526315789473684211,38
06/28/2010 16:27:29,42.648136,-71.31455,0.86,1031.64,27.66,10,30.882577986184210526315789473684211,37
06/28/2010 16:27:30,42.64812,-71.31438,0.90,940.47,27.66,11,30.882577986184210526315789473684211,37
06/28/2010 16:27:31,42.64812,-71.31409,0.86,967.09,27.66,10,30.882577986184210526315789473684211,37
06/28/2010 16:27:32,42.64812,-71.31398,0.90,982.24,27.66,4,30.882577986184210526315789473684211,37
06/28/2010 16:27:33,42.64812,-71.31388,0.90,630.26,27.66,7,30.882577986184210526315789473684211,37
06/28/2010 16:27:34,42.64812,-71.313835,0.90,517.16,27.66,3,30.882577986184210526315789473684211,37
06/28/2010 16:27:35,42.64812,-71.31379,0.90,505.95,27.66,3,30.882577986184210526315789473684211,37
06/28/2010 16:27:37,42.64812,-71.31379,0.86,502.73,27.66,1,30.882577986184210526315789473684211,37
06/28/2010 16:27:38,42.64812,-71.31377,0.90,502.73,27.66,2,30.882577986184210526315789473684211,36
06/28/2010 16:27:39,42.64812,-71.31377,0.86,502.73,27.66,2,30.882577986184210526315789473684211,35
06/28/2010 16:27:40,42.64812,-71.31377,0.86,502.73,27.66,9,30.882577986184210526315789473684211,35
06/28/2010 16:27:41,42.64812,-71.31377,0.86,502.73,27.66,7,30.798796872709915966386554621848739,35
06/28/2010 16:27:42,42.64812,-71.31377,0.86,499.51,27.66,12,30.798796872709915966386554621848739,35
06/28/2010 16:27:43,42.64812,-71.31377,0.78,493.03,27.66,11,30.798796872709915966386554621848739,35
06/28/2010 16:27:44,42.64812,-71.31377,0.86,529.86,27.66,8,30.798796872709915966386554621848739,35
06/28/2010 16:27:45,42.64812,-71.31377,0.86,790.22,27.66,4,30.798796872709915966386554621848739,36
06/28/2010 16:27:46,42.64812,-71.313736,0.82,930.28,27.66,10,30.798796872709915966386554621848739,36
06/28/2010 16:27:47,42.64812,-71.3137,0.86,1012.03,27.66,6,30.798796872709915966386554621848739,37
06/28/2010 16:27:48,42.64812,-71.313614,0.98,1016.38,27.66,19,30.798796872709915966386554621848739,38
06/28/2010 16:27:49,42.64812,-71.31353,0.90,1031.64,27.66,9,30.798796872709915966386554621848739,38
06/28/2010 16:27:51,42.64812,-71.31345,0.82,1032.47,27.66,14,30.798796872709915966386554621848739,39
06/28/2010 16:27:52,42.648106,-71.313385,0.86,1029.14,27.66,6,30.798796872709915966386554621848739,40
06/28/2010 16:27:53,42.64808,-71.31332,1.02,1021.53,27.66,9,30.798796872709915966386554621848739,40
06/28/2010 16:27:54,42.648064,-71.31325,0.90,1023.23,27.66,12,30.798796872709915966386554621848739,40
06/28/2010 16:27:55,42.648014,-71.3132,0.94,1026.62,27.66,31,30.798796872709915966386554621848739,40
06/28/2010 16:27:56,42.64795,-71.31319,0.86,1033.30,27.66,15,30.798796872709915966386554621848739,40
06/28/2010 16:27:57,42.64787,-71.31319,1.09,1036.60,27.66,19,30.798796872709915966386554621848739,40
06/28/2010 16:27:58,42.64777,-71.31319,0.74,1035.78,27.66,17,30.714883776515429769392033542976939,40
06/28/2010 16:27:59,42.647583,-71.3132,0.86,966.12,27.66,11,30.714883776515429769392033542976939,41
06/28/2010 16:28:00,42.647484,-71.3132,0.82,829.28,27.66,10,30.714883776515429769392033542976939,41
06/28/2010 16:28:01,42.64736,-71.3132,0.78,855.07,27.66,12,30.714883776515429769392033542976939,41
06/28/2010 16:28:02,42.64725,-71.31322,0.86,1035.78,27.66,9,30.714883776515429769392033542976939,41
06/28/2010 16:28:03,42.647137,-71.31322,0.94,1034.95,27.66,12,30.714883776515429769392033542976939,41
06/28/2010 16:28:05,42.647015,-71.31323,0.86,1034.95,27.66,11,30.714883776515429769392033542976939,42
06/28/2010 16:28:06,42.646885,-71.31323,0.86,1033.30,27.66,16,30.714883776515429769392033542976939,42
06/28/2010 16:28:07,42.646786,-71.31325,0.90,1035.78,27.66,14,30.714883776515429769392033542976939,42
06/28/2010 16:28:08,42.64668,-71.31325,0.94,1034.13,27.66,24,30.630838512803012552301255230125523,43
