time,light,temperature,temperature probe
09/09/2010 08:27:35,806.31,21.86,15.73775
09/09/2010 08:27:36,806.31,21.86,15.6253
09/09/2010 08:27:37,806.31,21.86,15.6253
09/09/2010 08:27:38,806.31,21.86,15.6253
09/09/2010 08:27:39,806.31,21.86,15.6253
09/09/2010 08:27:39,806.31,21.86,15.6253
09/09/2010 08:27:42,806.31,21.86,15.73775
09/09/2010 08:27:43,806.31,21.86,15.73775
09/09/2010 08:27:44,806.31,21.86,15.8502
09/09/2010 08:27:45,806.31,22.18,15.8502
09/09/2010 08:27:46,806.31,21.86,15.73775
09/09/2010 08:27:47,806.31,21.86,15.73775
09/09/2010 08:27:48,806.31,21.86,15.73775
09/09/2010 08:27:49,806.31,21.86,15.8502
09/09/2010 08:27:50,806.31,21.86,15.96265
09/09/2010 08:27:51,806.31,21.86,16.0751
09/09/2010 08:27:52,806.31,21.86,16.0751
09/09/2010 08:27:53,806.31,21.86,16.0751
09/09/2010 08:27:54,806.31,21.86,15.96265
09/09/2010 08:27:56,806.31,21.86,16.0751
09/09/2010 08:27:57,806.31,21.86,16.0751
09/09/2010 08:27:58,806.31,21.86,16.18755
09/09/2010 08:27:59,806.31,21.86,16.18755
09/09/2010 08:28:00,806.31,21.86,16.3000
09/09/2010 08:28:01,806.31,21.86,16.3000
09/09/2010 08:28:02,806.31,21.86,16.41245
09/09/2010 08:28:03,806.31,21.86,16.5249
09/09/2010 08:28:04,806.31,21.86,16.5249
09/09/2010 08:28:05,806.31,21.86,16.5249
09/09/2010 08:28:06,806.31,21.86,16.63735
09/09/2010 08:28:07,806.31,21.86,16.63735
09/09/2010 08:28:08,806.31,21.86,16.63735
09/09/2010 08:28:08,805.09,21.86,16.5249
09/09/2010 08:28:11,805.09,21.86,16.41245
09/09/2010 08:28:12,805.09,21.86,16.5249
09/09/2010 08:28:13,805.09,21.86,16.5249
09/09/2010 08:28:14,805.09,21.86,16.63735
09/09/2010 08:28:15,805.09,21.86,16.5249
09/09/2010 08:28:16,805.09,21.86,16.41245
09/09/2010 08:28:17,805.09,21.86,16.41245
09/09/2010 08:28:18,805.09,21.86,16.41245
09/09/2010 08:28:19,805.09,21.86,16.41245
09/09/2010 08:28:20,805.09,21.86,16.3000
09/09/2010 08:28:20,805.09,21.86,16.3000
09/09/2010 08:28:22,805.09,21.86,16.18755
09/09/2010 08:28:23,805.09,21.86,16.0751
09/09/2010 08:28:25,805.09,21.86,15.96265
09/09/2010 08:28:26,805.09,21.53,15.8502
09/09/2010 08:28:27,805.09,21.86,15.6253
