time,acceleration,light,temperature,sound,"cricket temperature probe"
"3/30/2128 20:00:00",0.94,816.06,18.31,0,17.1996
"3/30/2128 20:00:00",0.98,812.42,18.31,0,17.53695
"3/30/2128 20:00:00",0.98,819.69,18.31,0,17.98675
"3/30/2128 20:00:00",0.90,814.85,18.31,0,18.43655
"3/30/2128 20:00:00",0.86,796.45,18.31,0,18.7739
"3/30/2128 20:00:00",0.90,809.98,18.31,0,18.5490
"3/30/2128 20:00:00",0.90,820.89,18.31,0,18.5490
"3/30/2128 20:00:00",0.86,822.10,18.31,0,18.66145
"3/30/2128 20:00:00",1.02,808.76,18.31,0,18.5490
"3/30/2128 20:00:00",0.98,816.06,18.31,0,18.43655
"4/7/2000 20:03:44",0.00,812.42,18.63,0,15.06305
"3/30/2128 20:00:00",1.05,812.42,18.96,10,14.83815
"3/30/2128 20:00:00",0.82,812.42,18.63,0,14.7257
"3/30/2128 20:00:00",0.98,812.42,18.96,0,14.5008
"3/30/2128 20:00:00",1.25,813.64,18.96,0,14.38835
"3/30/2128 20:00:00",0.82,813.64,18.96,0,14.2759
"3/30/2128 20:00:00",1.13,817.27,18.96,1,14.16345
"3/30/2128 20:00:00",1.02,817.27,18.96,0,14.0510
"3/30/2128 20:00:00",0.70,818.48,18.96,0,13.93855
"3/30/2128 20:00:00",0.98,814.85,18.96,0,13.8261
"3/30/2128 20:00:00",0.90,813.64,18.96,0,13.8261
"4/7/2000 20:03:44",0.00,812.42,18.63,0,15.06305
"3/30/2128 20:00:00",1.05,812.42,18.96,10,14.83815
"3/30/2128 20:00:00",0.82,812.42,18.63,0,14.7257
"3/30/2128 20:00:00",0.98,812.42,18.96,0,14.5008
"3/30/2128 20:00:00",1.25,813.64,18.96,0,14.38835
"3/30/2128 20:00:00",0.82,813.64,18.96,0,14.2759
"3/30/2128 20:00:00",1.13,817.27,18.96,1,14.16345
"3/30/2128 20:00:00",1.02,817.27,18.96,0,14.0510
"3/30/2128 20:00:00",0.70,818.48,18.96,0,13.93855
"3/30/2128 20:00:00",0.98,814.85,18.96,0,13.8261
"3/30/2128 20:00:00",0.90,813.64,18.96,0,13.8261
"4/7/2000 20:03:42",0.00,822.10,18.96,0,12.81405
"3/30/2128 20:00:00",0.94,822.10,18.96,0,12.81405
"3/30/2128 20:00:00",0.90,811.20,18.96,0,12.9265
"3/30/2128 20:00:00",0.86,800.16,18.96,0,12.9265
"3/30/2128 20:00:00",0.90,806.31,19.28,0,12.9265
"3/30/2128 20:00:00",0.94,828.09,19.28,0,12.9265
"3/30/2128 20:00:00",0.94,803.86,19.28,0,12.9265
"3/30/2128 20:00:00",0.94,805.09,19.28,0,12.9265
"3/30/2128 20:00:00",0.90,802.63,19.28,0,12.9265
"3/30/2128 20:00:00",0.98,808.76,19.28,0,12.9265
"3/30/2128 20:00:00",0.86,817.27,19.28,0,12.9265
"4/7/2000 20:03:42",0.00,822.10,18.96,0,12.81405
"3/30/2128 20:00:00",0.94,822.10,18.96,0,12.81405
"3/30/2128 20:00:00",0.90,811.20,18.96,0,12.9265
"3/30/2128 20:00:00",0.86,800.16,18.96,0,12.9265
"3/30/2128 20:00:00",0.90,806.31,19.28,0,12.9265
"3/30/2128 20:00:00",0.94,828.09,19.28,0,12.9265
"3/30/2128 20:00:00",0.94,803.86,19.28,0,12.9265
"3/30/2128 20:00:00",0.94,805.09,19.28,0,12.9265
"3/30/2128 20:00:00",0.90,802.63,19.28,0,12.9265
"3/30/2128 20:00:00",0.98,808.76,19.28,0,12.9265
"3/30/2128 20:00:00",0.86,817.27,19.28,0,12.9265
"4/7/2000 20:03:58",0.00,831.66,19.92,0,12.9265
"3/30/2128 20:00:00",0.90,831.66,19.92,0,12.9265
"3/30/2128 20:00:00",0.90,831.66,19.92,0,12.9265
"3/30/2128 20:00:00",0.94,831.66,19.92,0,12.9265
"3/30/2128 20:00:00",0.90,831.66,19.92,0,12.9265
"3/30/2128 20:00:00",0.94,831.66,19.92,0,12.9265
"3/30/2128 20:00:00",0.90,832.85,20.24,0,12.81405
"3/30/2128 20:00:00",0.94,832.85,19.92,0,12.81405
"3/30/2128 20:00:00",0.90,832.85,20.24,0,12.7016
"3/30/2128 20:00:00",0.90,832.85,19.92,0,12.7016
"3/30/2128 20:00:00",0.94,832.85,20.24,0,12.58915
"4/7/2000 20:03:58",0.00,831.66,19.92,0,12.9265
"3/30/2128 20:00:00",0.90,831.66,19.92,0,12.9265
"3/30/2128 20:00:00",0.90,831.66,19.92,0,12.9265
"3/30/2128 20:00:00",0.94,831.66,19.92,0,12.9265
"3/30/2128 20:00:00",0.90,831.66,19.92,0,12.9265
"3/30/2128 20:00:00",0.94,831.66,19.92,0,12.9265
"3/30/2128 20:00:00",0.90,832.85,20.24,0,12.81405
"3/30/2128 20:00:00",0.94,832.85,19.92,0,12.81405
"3/30/2128 20:00:00",0.90,832.85,20.24,0,12.7016
"3/30/2128 20:00:00",0.90,832.85,19.92,0,12.7016
"3/30/2128 20:00:00",0.94,832.85,20.24,0,12.58915
"4/7/2000 20:04:04",0.00,829.28,20.24,0,12.13935
"3/30/2128 20:00:00",0.90,811.20,20.57,0,12.0269
"3/30/2128 20:00:00",0.94,811.20,20.57,0,11.91445
"3/30/2128 20:00:00",0.94,809.98,20.24,0,11.91445
"3/30/2128 20:00:00",0.90,811.20,20.57,0,11.91445
"3/30/2128 20:00:00",0.94,811.20,20.24,0,11.91445
"3/30/2128 20:00:00",0.94,809.98,20.24,0,11.91445
"3/30/2128 20:00:00",0.90,806.31,20.24,0,11.91445
"3/30/2128 20:00:00",0.94,798.92,20.57,0,11.8020
"3/30/2128 20:00:00",0.86,761.01,20.57,0,11.8020
"3/30/2128 20:00:00",0.94,791.47,20.57,0,11.68955
"4/7/2000 20:04:04",0.00,829.28,20.24,0,12.13935
"3/30/2128 20:00:00",0.90,811.20,20.57,0,12.0269
"3/30/2128 20:00:00",0.94,811.20,20.57,0,11.91445
"3/30/2128 20:00:00",0.94,809.98,20.24,0,11.91445
"3/30/2128 20:00:00",0.90,811.20,20.57,0,11.91445
"3/30/2128 20:00:00",0.94,811.20,20.24,0,11.91445
"3/30/2128 20:00:00",0.94,809.98,20.24,0,11.91445
"3/30/2128 20:00:00",0.90,806.31,20.24,0,11.91445
"3/30/2128 20:00:00",0.94,798.92,20.57,0,11.8020
"3/30/2128 20:00:00",0.86,761.01,20.57,0,11.8020
"3/30/2128 20:00:00",0.94,791.47,20.57,0,11.68955
"4/7/2000 20:04:02",0.00,820.89,20.89,0,11.5771
"3/30/2128 20:00:00",1.17,819.69,20.57,0,11.5771
"3/30/2128 20:00:00",0.82,819.69,20.57,0,11.5771
"3/30/2128 20:00:00",0.70,818.48,20.57,0,11.5771
"3/30/2128 20:00:00",0.98,818.48,20.57,0,11.5771
"3/30/2128 20:00:00",0.70,818.48,20.24,0,11.5771
"3/30/2128 20:00:00",0.86,820.89,20.57,0,11.5771
"3/30/2128 20:00:00",0.86,819.69,20.24,0,11.5771
"3/30/2128 20:00:00",1.02,818.48,20.57,0,11.5771
"3/30/2128 20:00:00",0.86,818.48,20.24,3,11.5771
"3/30/2128 20:00:00",0.94,818.48,20.57,0,11.5771
"4/7/2000 20:04:02",0.00,820.89,20.89,0,11.5771
"3/30/2128 20:00:00",1.17,819.69,20.57,0,11.5771
"3/30/2128 20:00:00",0.82,819.69,20.57,0,11.5771
"3/30/2128 20:00:00",0.70,818.48,20.57,0,11.5771
"3/30/2128 20:00:00",0.98,818.48,20.57,0,11.5771
"3/30/2128 20:00:00",0.70,818.48,20.24,0,11.5771
"3/30/2128 20:00:00",0.86,820.89,20.57,0,11.5771
"3/30/2128 20:00:00",0.86,819.69,20.24,0,11.5771
"3/30/2128 20:00:00",1.02,818.48,20.57,0,11.5771
"3/30/2128 20:00:00",0.86,818.48,20.24,3,11.5771
"3/30/2128 20:00:00",0.94,818.48,20.57,0,11.5771
"4/7/2000 20:04:02",0.00,818.48,20.24,0,11.91445
