time,latitude,longitude,acceleration,light,temperature,sound
428,,,0.82,0.00,23.14,41
429,42.78702,-71.1072,0.78,0.00,23.14,35
430,42.78702,-71.1072,0.78,0.00,23.47,20
431,42.787003,-71.107185,0.78,0.00,23.79,23
432,42.787003,-71.107185,0.82,0.00,23.79,36
433,42.787003,-71.107185,0.82,0.00,24.11,29
434,42.787003,-71.10717,0.82,0.00,24.11,37
435,42.78702,-71.10717,0.82,0.00,24.43,19
436,42.78702,-71.10717,0.78,0.00,24.43,30
437,42.78702,-71.107185,0.78,0.00,24.76,23
438,42.78702,-71.10717,0.86,0.00,24.76,35
439,,,0.98,0.00,24.76,41
440,,,0.98,0.00,24.76,24
441,,,0.98,0.00,24.76,22
442,,,0.98,0.00,24.76,12
443,,,0.86,0.00,24.76,29
444,,,1.09,2.10,24.76,22
445,,,0.90,4.19,24.76,17
446,,,0.98,0.00,24.76,10
447,,,0.86,8.38,24.76,21
448,,,0.82,14.65,24.76,7
449,,,0.98,8.38,24.76,8
450,,,0.98,20.90,24.76,16
451,,,0.98,25.06,24.43,5
452,,,1.21,16.73,24.43,22
453,,,1.52,35.42,24.43,14
454,,,1.09,74.40,24.43,34
455,,,1.13,185.49,24.43,12
456,,,1.52,278.07,24.43,9
457,,,2.34,27.13,24.43,4
458,,,1.29,58.07,24.43,28
459,,,1.17,33.35,24.43,10
460,,,1.09,98.68,24.43,35
461,,,1.13,70.33,24.43,6
462,,,1.25,216.19,24.43,34
463,,,1.21,51.91,24.11,30
464,42.787132,-71.107185,1.05,25.06,24.11,9
465,42.787117,-71.10717,0.66,31.28,24.43,12
466,42.7871,-71.107155,1.02,14.65,24.11,6
467,,,0.86,8.38,24.43,20
468,,,0.94,56.02,24.11,16
469,,,0.70,88.59,24.11,10
470,,,0.86,124.69,24.11,24
471,42.787132,-71.1072,0.86,108.72,24.11,3
472,42.787132,-71.1072,1.41,74.40,24.11,9
473,,,2.11,20.90,24.11,13
474,42.787132,-71.10717,0.59,20.90,24.11,10
475,,,1.05,4.19,24.11,3
476,42.787132,-71.107155,1.17,18.82,23.79,5
477,,,0.98,14.65,23.79,4
478,42.787132,-71.107155,0.94,14.65,23.79,2
479,42.787132,-71.107155,0.94,56.02,23.79,4
480,42.787132,-71.10714,0.98,58.07,23.79,6
481,42.787132,-71.10714,1.02,53.97,23.79,10
482,42.787132,-71.10711,0.90,4.19,23.79,12
483,42.787132,-71.10711,0.94,2.10,23.79,43
484,42.78715,-71.10711,1.05,10.47,23.79,7
485,42.787167,-71.10711,1.17,16.73,23.79,3
486,42.78715,-71.10709,1.95,39.56,23.79,9
487,42.78715,-71.10709,0.59,25.06,23.47,7
488,42.787167,-71.10708,2.66,8.38,23.47,12
489,,,2.58,4.19,23.47,29
490,42.787167,-71.10705,4.49,4.19,23.47,37
