time,latitude,longitude,acel,light,temperature,sound
"Sep 26 2009 17:46:19",42.3233666667,-71.6180166667,1.015625,786.4661,-16.171875,0
"Sep 26 2009 17:46:20",42.3232666667,-71.6179,0.9765625,687.2936,-16.171875,0
"Sep 26 2009 17:46:21",42.32315,-71.6177833333,1.0546875,554.9216,-16.171875,0
"Sep 26 2009 17:46:23",42.32305,-71.61765,0.9765625,631.7225,-16.171875,0
"Sep 26 2009 17:46:24",42.32295,-71.6175166667,1.0546875,791.4709,-16.171875,0
"Sep 26 2009 17:46:25",42.32285,-71.6174,1.25,394.2016,-16.494140625,0
"Sep 26 2009 17:46:26",42.3227333333,-71.6173,0.9765625,781.4325,-16.171875,0
"Sep 26 2009 17:46:27",42.3226333333,-71.6171833333,0.9375,577.9961,-16.171875,0
"Sep 26 2009 17:46:28",42.3225166667,-71.6170833333,0.9375,550.2581,-16.171875,0
"Sep 26 2009 17:46:29",42.3224,-71.6169833333,0.9765625,643.3449,-16.171875,0
"Sep 26 2009 17:46:30",42.3223,-71.6168833333,1.0546875,792.7176,-16.171875,0
"Sep 26 2009 17:46:31",42.3221666667,-71.6168,1.015625,783.9529,-16.171875,0
"Sep 26 2009 17:46:32",42.32205,-71.6167,0.8984375,716.0825,-16.171875,0
"Sep 26 2009 17:46:33",42.3217833333,-71.6165166667,1.015625,764.8744,-16.171875,0
"Sep 26 2009 17:46:34",42.3216666667,-71.6164166667,0.9765625,685.9029,-16.171875,0
"Sep 26 2009 17:46:35",42.3215333333,-71.6163,1.015625,791.4709,-16.171875,0
"Sep 26 2009 17:46:37",42.3214,-71.6161833333,1.09375,781.4325,-16.171875,0
"Sep 26 2009 17:46:38",42.3212833333,-71.6160333333,1.09375,781.4325,-16.171875,0
"Sep 26 2009 17:46:39",42.3211666667,-71.6159,1.015625,788.9721,-16.171875,0
"Sep 26 2009 17:46:40",42.32105,-71.6157333333,0.9765625,786.4661,-16.171875,1
"Sep 26 2009 17:46:41",42.32095,-71.6155666667,1.015625,786.4661,-16.171875,0
"Sep 26 2009 17:46:42",42.3208666667,-71.6153666667,0.9765625,785.2104,-16.171875,0
"Sep 26 2009 17:46:43",42.3207833333,-71.6151833333,1.015625,783.9529,-16.171875,0
"Sep 26 2009 17:46:44",42.3207166667,-71.6149833333,1.1328125,780.1696,-16.171875,0
"Sep 26 2009 17:46:45",42.32065,-71.6148,1.0546875,776.3701,-16.171875,0
"Sep 26 2009 17:46:46",42.3206,-71.6146166667,0.9765625,654.8521,-16.171875,0
"Sep 26 2009 17:46:47",42.3206,-71.6146166667,1.015625,771.2789,-16.171875,0
"Sep 26 2009 17:46:47",42.3204833333,-71.61405,1.0546875,677.5209,-16.171875,0
"Sep 26 2009 17:46:49",42.32045,-71.6138833333,0.9375,768.7225,-16.171875,0
"Sep 26 2009 17:46:50",42.32045,-71.61375,1.015625,771.2789,-16.171875,0
"Sep 26 2009 17:46:52",42.3204333333,-71.6136166667,1.0546875,781.4325,-16.171875,0
"Sep 26 2009 17:46:53",42.3204166667,-71.6135,0.9765625,744.0776,-16.171875,0
"Sep 26 2009 17:46:54",42.3203833333,-71.6134333333,1.09375,805.0856,-16.171875,0
"Sep 26 2009 17:46:55",42.32035,-71.6133666667,0.9375,811.2021,-16.171875,0
"Sep 26 2009 17:46:56",42.3202833333,-71.6133666667,0.9375,816.0629,-15.849609375,1
"Sep 26 2009 17:46:57",42.3202166667,-71.61335,1.015625,820.8949,-15.849609375,0
"Sep 26 2009 17:46:58",42.3201,-71.6134166667,0.9375,820.8949,-15.849609375,0
"Sep 26 2009 17:46:59",42.3199833333,-71.61345,1.0546875,822.0984,-15.52734375,0
"Sep 26 2009 17:47:00",42.3198666667,-71.6134833333,0.9765625,823.3001,-15.52734375,0
"Sep 26 2009 17:47:01",42.3196166667,-71.6135333333,0.9375,824.5,-15.52734375,0
"Sep 26 2009 17:47:02",42.3194833333,-71.61355,0.9765625,823.3001,-15.52734375,0
"Sep 26 2009 17:47:03",42.3193666667,-71.6135666667,0.9765625,800.16,-15.52734375,0
"Sep 26 2009 17:47:03",42.3193666667,-71.6135666667,1.015625,634.6389,-15.52734375,0
"Sep 26 2009 17:47:06",42.3190833333,-71.6136,0.9375,571.8825,-15.52734375,0
"Sep 26 2009 17:47:07",42.3189333333,-71.6136,0.9765625,825.6981,-15.52734375,0
"Sep 26 2009 17:47:08",42.3188,-71.6135833333,1.015625,824.5,-15.52734375,0
"Sep 26 2009 17:47:09",42.3186666667,-71.6136,1.015625,809.9824,-15.52734375,0
"Sep 26 2009 17:47:10",42.3185166667,-71.61355,1.015625,814.8504,-15.205078125,0
"Sep 26 2009 17:47:11",42.3183666667,-71.6135166667,1.015625,670.4864,-15.52734375,0
"Sep 26 2009 17:47:12",42.3182333333,-71.6134833333,1.0546875,801.3941,-15.52734375,0
"Sep 26 2009 17:47:13",42.3181,-71.6134333333,1.015625,798.9241,-15.205078125,1
"Sep 26 2009 17:47:14",42.3179833333,-71.6133833333,0.9375,826.8944,-15.205078125,2
"Sep 26 2009 17:47:15",42.3177333333,-71.6133,1.0546875,826.8944,-15.205078125,0
"Sep 26 2009 17:47:16",42.3176,-71.61325,0.9375,828.0889,-15.205078125,0
"Sep 26 2009 17:47:17",42.31745,-71.6131833333,0.9765625,828.0889,-14.8828125,0
"Sep 26 2009 17:47:19",42.3173166667,-71.61315,0.9765625,825.6981,-14.8828125,0
"Sep 26 2009 17:47:20",42.3171833333,-71.6131166667,1.015625,813.6361,-14.8828125,0
"Sep 26 2009 17:47:21",42.31705,-71.6131,1.0546875,800.16,-15.205078125,0
"Sep 26 2009 17:47:22",42.3169166667,-71.6130833333,1.0546875,823.3001,-14.8828125,0
"Sep 26 2009 17:47:23",42.3167666667,-71.6130666667,1.015625,824.5,-14.8828125,0
"Sep 26 2009 17:47:24",42.3166166667,-71.61305,0.9765625,820.8949,-14.8828125,0
"Sep 26 2009 17:47:25",42.3164666667,-71.61305,1.015625,811.2021,-14.8828125,0
"Sep 26 2009 17:47:26",42.3163166667,-71.6130666667,1.015625,811.2021,-14.560546875,0
"Sep 26 2009 17:47:27",42.3161666667,-71.6131,0.9765625,809.9824,-14.560546875,0
"Sep 26 2009 17:47:28",42.3158833333,-71.6131666667,0.9765625,809.9824,-14.560546875,0
"Sep 26 2009 17:47:29",42.31575,-71.6132166667,1.015625,811.2021,-14.560546875,0
"Sep 26 2009 17:47:30",42.3156166667,-71.6132666667,1.015625,811.2021,-14.560546875,0
"Sep 26 2009 17:47:30",42.3156166667,-71.6132666667,1.015625,811.2021,-14.560546875,0
"Sep 26 2009 17:47:33",42.31535,-71.6133333333,1.015625,805.0856,-14.560546875,0
"Sep 26 2009 17:47:34",42.3152333333,-71.6133666667,1.015625,783.9529,-14.560546875,0
"Sep 26 2009 17:47:35",42.3151166667,-71.6134,1.0546875,397.6544,-14.560546875,0
"Sep 26 2009 17:47:36",42.315,-71.6134166667,1.0546875,798.9241,-14.560546875,0
"Sep 26 2009 17:47:37",42.3148833333,-71.6134166667,1.015625,814.8504,-14.560546875,0
"Sep 26 2009 17:47:38",42.3147666667,-71.6134333333,1.015625,819.6896,-14.560546875,0
"Sep 26 2009 17:47:39",42.3146833333,-71.6134,1.015625,631.7225,-14.23828125,1
"Sep 26 2009 17:47:40",42.3146333333,-71.6133833333,1.015625,709.3,-14.560546875,0
"Sep 26 2009 17:47:41",42.31455,-71.6134166667,1.0546875,198.9801,-14.560546875,0
"Sep 26 2009 17:47:42",42.3145,-71.6134333333,0.9765625,191.2825,-14.560546875,0
"Sep 26 2009 17:47:43",42.3145166667,-71.6136,1.015625,235.1504,-14.560546875,1
"Sep 26 2009 17:47:44",42.3145666667,-71.6137666667,1.0546875,336.1909,-14.560546875,0
"Sep 26 2009 17:47:45",42.3146166667,-71.61395,1.0546875,341.5456,-14.560546875,0
"Sep 26 2009 17:47:47",42.3146333333,-71.6141833333,1.09375,750.6261,-14.560546875,0
"Sep 26 2009 17:47:48",42.3146333333,-71.6143833333,1.0546875,179.6821,-14.560546875,0
"Sep 26 2009 17:47:49",42.3146333333,-71.6145833333,1.0546875,283.5936,-14.560546875,0
"Sep 26 2009 17:47:50",42.3146,-71.6147666667,0.9765625,759.7184,-14.560546875,0
"Sep 26 2009 17:47:51",42.3145833333,-71.6149666667,1.09375,389.0089,-14.560546875,0
"Sep 26 2009 17:47:52",42.3145166667,-71.6151166667,1.015625,793.9625,-14.560546875,0
"Sep 26 2009 17:47:53",42.3144333333,-71.6152833333,0.9765625,289.1049,-14.560546875,0
"Sep 26 2009 17:47:54",200.0,200.0,1.09375,355.7456,-14.560546875,0
"Sep 26 2009 17:47:55",200.0,200.0,0.9765625,678.9224,-14.560546875,0
"Sep 26 2009 17:47:56",42.3142,-71.6157333333,0.9765625,772.5544,-14.560546875,0
"Sep 26 2009 17:47:57",42.3141333333,-71.61615,0.9375,355.7456,-14.560546875,0
"Sep 26 2009 17:47:58",42.3141166667,-71.61635,1.015625,636.0944,-14.560546875,0
"Sep 26 2009 17:47:59",42.3141,-71.61655,1.015625,790.2224,-14.8828125,0
"Sep 26 2009 17:48:01",42.3141,-71.6167333333,0.9765625,817.2736,-14.560546875,0
"Sep 26 2009 17:48:02",42.3140833333,-71.6168833333,1.015625,820.8949,-14.560546875,0
"Sep 26 2009 17:48:03",42.3140833333,-71.6170333333,1.015625,812.42,-14.560546875,0
"Sep 26 2009 17:48:04",42.3140833333,-71.6172166667,0.9375,318.2249,-14.560546875,0
"Sep 26 2009 17:48:05",42.3140666667,-71.6174,1.0546875,822.0984,-14.560546875,0
"Sep 26 2009 17:48:06",42.3140666667,-71.6175666667,1.0546875,688.6825,-14.560546875,0
"Sep 26 2009 17:48:07",42.31405,-71.6177333333,1.1328125,253.9264,-14.560546875,0
"Sep 26 2009 17:48:08",42.3140333333,-71.6178833333,1.015625,310.9881,-14.560546875,0
