time,latitude,longitude,light,temperature,sound,acceleration,altitude
06/03/2010 10:47:07,42.66993,-71.42716,1073.20,32.49,0,0.86,53
06/03/2010 10:47:08,42.66993,-71.42716,1073.20,32.49,0,1.05,53
06/03/2010 10:47:09,42.66993,-71.42718,1073.20,32.49,0,0.94,53
06/03/2010 10:47:10,42.66993,-71.4272,1076.86,32.49,0,0.82,53
06/03/2010 10:47:11,42.66993,-71.427216,1075.40,32.49,0,1.17,53
06/03/2010 10:47:12,42.669945,-71.42723,1076.86,32.17,0,1.02,53
06/03/2010 10:47:13,42.669945,-71.42723,1077.58,32.17,0,0.82,53
06/03/2010 10:47:14,42.66997,-71.427246,1076.13,32.17,0,0.86,54
06/03/2010 10:47:15,42.66997,-71.427246,1077.58,32.49,0,0.94,54
06/03/2010 10:47:16,42.669987,-71.42727,1077.58,32.17,0,0.78,54
06/03/2010 10:47:18,42.669987,-71.42727,1076.13,32.17,0,0.86,54
06/03/2010 10:47:19,42.670002,-71.427284,1075.40,32.49,0,0.82,54
06/03/2010 10:47:20,42.670002,-71.4273,1075.40,32.17,0,0.90,54
06/03/2010 10:47:21,42.670002,-71.42732,1074.67,32.17,0,0.86,54
06/03/2010 10:47:22,42.67002,-71.42732,1074.67,32.17,0,0.90,53
06/03/2010 10:47:23,42.67002,-71.42734,1073.93,32.17,0,0.86,53
06/03/2010 10:47:24,42.67002,-71.42735,1073.93,32.17,0,1.17,53
06/03/2010 10:47:25,42.670036,-71.42737,1076.13,32.17,0,0.90,53
06/03/2010 10:47:26,42.670036,-71.42737,1077.58,31.85,1,0.66,53
06/03/2010 10:47:27,42.670036,-71.4274,1077.58,31.85,0,1.02,52
06/03/2010 10:47:28,42.67005,-71.4274,1076.13,31.85,2,0.94,52
06/03/2010 10:47:29,42.67005,-71.427414,1076.13,31.85,1,0.82,52
06/03/2010 10:47:31,42.67005,-71.42744,1074.67,31.85,0,1.13,51
06/03/2010 10:47:32,42.670067,-71.42744,1076.13,31.52,0,1.02,51
06/03/2010 10:47:33,42.670067,-71.42745,1077.58,31.52,0,0.90,51
06/03/2010 10:47:34,42.670067,-71.42747,1074.67,31.52,0,0.94,51
06/03/2010 10:47:35,42.670086,-71.42748,1073.93,31.52,0,0.94,51
06/03/2010 10:47:36,42.670086,-71.4275,1073.93,31.52,0,0.94,50
06/03/2010 10:47:37,42.670086,-71.4275,1073.93,31.52,0,0.98,50
06/03/2010 10:47:38,42.6701,-71.42751,1073.93,31.52,0,0.74,50
06/03/2010 10:47:39,42.6701,-71.42754,1072.46,31.52,0,0.82,50
06/03/2010 10:47:40,42.670116,-71.42757,1071.72,31.52,0,0.78,50
06/03/2010 10:47:41,42.670116,-71.42758,1073.20,31.52,0,0.90,50
06/03/2010 10:47:43,42.670116,-71.42758,1068.00,31.20,0,0.78,50
06/03/2010 10:47:44,42.670116,-71.4276,1075.40,31.20,0,0.98,50
06/03/2010 10:47:45,42.67013,-71.42762,1071.72,31.20,3,0.90,50
06/03/2010 10:47:46,42.67013,-71.427635,1069.49,31.20,0,1.13,49
