time,latitude,longitude,light,temperature,sound,temperature probe,altitude
06/03/2010 10:42:03,42.67002,-71.426636,1082.62,30.23,18,30.038805773365979381443298969072165,63
06/03/2010 10:42:04,42.67002,-71.426636,1083.33,30.56,0,30.123781256412561983471074380165289,63
06/03/2010 10:42:05,42.67002,-71.426636,1081.91,30.56,20,30.123781256412561983471074380165289,64
06/03/2010 10:42:06,42.67002,-71.426636,1081.91,30.56,24,30.208623320680207039337474120082816,64
06/03/2010 10:42:07,42.67002,-71.426636,1081.19,30.56,26,30.293332140494937759336099585062241,63
06/03/2010 10:42:08,42.67002,-71.426636,1083.33,30.56,8,30.293332140494937759336099585062241,63
06/03/2010 10:42:09,42.67002,-71.426636,1080.47,30.56,4,30.377907891632474012474012474012474,64
06/03/2010 10:42:10,42.67002,-71.42662,1081.19,30.88,0,30.462350751333333333333333333333333,63
06/03/2010 10:42:11,42.67002,-71.42662,1081.19,30.88,2,30.546660898318121085594989561586639,63
06/03/2010 10:42:12,42.670036,-71.42662,1080.47,30.88,27,30.546660898318121085594989561586639,61
06/03/2010 10:42:14,42.67002,-71.42662,1081.19,30.56,33,30.630838512803012552301255230125523,61
06/03/2010 10:42:15,42.67002,-71.42662,1081.91,30.56,28,30.630838512803012552301255230125523,61
06/03/2010 10:42:16,42.67002,-71.42662,1081.19,30.88,44,30.714883776515429769392033542976939,62
06/03/2010 10:42:17,42.67002,-71.42662,1080.47,30.88,1,30.714883776515429769392033542976939,64
06/03/2010 10:42:18,42.67002,-71.42662,1080.47,30.88,13,30.714883776515429769392033542976939,63
06/03/2010 10:42:19,42.67002,-71.42662,1080.47,30.88,0,30.798796872709915966386554621848739,62
06/03/2010 10:42:20,42.67002,-71.42662,1080.47,30.88,17,30.798796872709915966386554621848739,62
06/03/2010 10:42:21,42.67002,-71.42662,1080.47,30.88,12,30.798796872709915966386554621848739,63
06/03/2010 10:42:22,42.67002,-71.42662,1081.19,30.88,0,30.798796872709915966386554621848739,63
06/03/2010 10:42:23,42.67002,-71.42662,1081.19,31.20,8,30.798796872709915966386554621848739,62
06/03/2010 10:42:24,42.67002,-71.42662,1081.91,30.88,41,30.882577986184210526315789473684211,62
06/03/2010 10:42:25,42.67002,-71.42662,1081.91,30.88,26,30.882577986184210526315789473684211,62
06/03/2010 10:42:27,42.67002,-71.42662,1082.62,30.88,13,30.882577986184210526315789473684211,62
06/03/2010 10:42:28,42.67002,-71.42662,1081.91,30.88,24,30.882577986184210526315789473684211,62
06/03/2010 10:42:29,42.67002,-71.42662,1081.19,30.88,41,30.882577986184210526315789473684211,62
06/03/2010 10:42:30,42.67002,-71.42662,1081.91,31.20,34,30.882577986184210526315789473684211,63
