time,latitude,longitude,light,temperature,sound,"cricket temperature probe"
"3/30/2128 20:00:00",,,1051.09,22.50,0,13.93855
"3/30/2128 20:00:00",,,1051.09,22.50,0,13.8261
"3/30/2128 20:00:00",,,1051.09,22.50,0,13.71365
"3/30/2128 20:00:00",,,1051.09,22.50,0,13.8261
"3/30/2128 20:00:00",,,1051.09,22.50,0,13.71365
"3/30/2128 20:00:00",,,1051.09,22.50,0,13.71365
"3/30/2128 20:00:00",,,1051.09,22.50,0,13.6012
"3/30/2128 20:00:00",,,1051.09,22.18,0,13.6012
"3/30/2128 20:00:00",,,1050.30,22.18,0,13.48875
"3/30/2128 20:00:00",,,1049.51,22.18,0,13.6012
"3/30/2128 20:00:00",,,1049.51,22.18,0,13.8261
"3/30/2128 20:00:00",,,1048.71,22.18,0,13.6012
"3/30/2128 20:00:00",,,1047.92,22.18,0,13.6012
"3/30/2128 20:00:00",,,1047.92,22.18,0,13.6012
"3/30/2128 20:00:00",,,1047.92,21.86,0,13.6012
"3/30/2128 20:00:00",,,1048.71,21.86,0,13.6012
"3/30/2128 20:00:00",,,1049.51,21.86,0,13.48875
"3/30/2128 20:00:00",,,1047.92,21.86,0,13.48875
"3/30/2128 20:00:00",,,1047.92,21.86,0,13.3763
"3/30/2128 20:00:00",,,1047.92,21.86,0,13.26385
"3/30/2128 20:00:00",,,1047.92,21.86,0,13.1514
"3/30/2128 20:00:00",,,1047.12,21.86,0,13.1514
"3/30/2128 20:00:00",,,1046.32,21.86,0,13.1514
"3/30/2128 20:00:00",,,1044.72,21.86,0,13.1514
"3/30/2128 20:00:00",,,1043.92,21.53,0,13.1514
"3/30/2128 20:00:00",,,1043.11,21.53,0,12.9265
"3/30/2128 20:00:00",,,1042.30,21.53,0,12.9265
"3/30/2128 20:00:00",,,1041.49,21.53,0,12.9265
"3/30/2128 20:00:00",,,1040.68,21.53,0,12.9265
"3/30/2128 20:00:00",,,1039.87,21.53,0,13.03895
"3/30/2128 20:00:00",,,1039.05,21.53,0,12.9265
"3/30/2128 20:00:00",,,1039.05,21.53,0,12.9265
"3/30/2128 20:00:00",,,1039.05,21.53,0,12.9265
"3/30/2128 20:00:00",,,1039.87,21.53,0,13.03895
"3/30/2128 20:00:00",,,1040.68,21.53,0,13.03895
"3/30/2128 20:00:00",,,1041.49,21.53,0,13.03895
"3/30/2128 20:00:00",,,1039.87,21.53,0,13.03895
"3/30/2128 20:00:00",,,1040.68,21.53,0,13.03895
"3/30/2128 20:00:00",,,1041.49,21.53,0,12.9265
"3/30/2128 20:00:00",,,1040.68,21.53,0,12.9265
"3/30/2128 20:00:00",,,1039.05,21.53,0,12.81405
"3/30/2128 20:00:00",,,1035.78,21.53,0,12.7016
"3/30/2128 20:00:00",,,1033.30,21.53,0,12.9265
"3/30/2128 20:00:00",,,1029.14,21.21,0,13.03895
"3/30/2128 20:00:00",,,1025.77,21.53,0,12.9265
"3/30/2128 20:00:00",,,1024.08,21.21,0,12.9265
"3/30/2128 20:00:00",,,1025.77,21.21,0,12.81405
"3/30/2128 20:00:00",,,1018.10,21.21,0,12.81405
"3/30/2128 20:00:00",,,1009.41,21.53,0,12.81405
"3/30/2128 20:00:00",,,1000.53,21.21,0,12.9265
"3/30/2128 20:00:00",,,976.61,21.21,0,12.9265
"3/30/2128 20:00:00",,,931.31,21.21,0,12.9265
"3/30/2128 20:00:00",,,898.63,21.21,0,12.81405
"3/30/2128 20:00:00",,,882.20,21.21,0,12.81405
"3/30/2128 20:00:00",,,874.39,21.21,0,12.7016
"3/30/2128 20:00:00",,,846.96,21.21,0,12.7016
"3/30/2128 20:00:00",,,824.50,21.21,0,12.7016
"3/30/2128 20:00:00",,,808.76,21.21,0,12.7016
"3/30/2128 20:00:00",,,768.72,21.21,0,12.7016
"3/30/2128 20:00:00",,,761.01,21.21,0,12.7016
"3/30/2128 20:00:00",,,771.28,21.21,0,12.58915
"3/30/2128 20:00:00",,,749.32,20.89,0,12.58915
"3/30/2128 20:00:00",,,701.10,20.89,0,12.81405
"3/30/2128 20:00:00",,,666.24,20.89,0,12.7016
"3/30/2128 20:00:00",,,628.80,20.89,0,12.7016
"3/30/2128 20:00:00",,,591.65,20.89,0,12.7016
"3/30/2128 20:00:00",,,554.92,20.89,0,12.7016
"3/30/2128 20:00:00",,,518.75,20.89,0,12.58915
"3/30/2128 20:00:00",,,480.00,20.89,0,12.58915
"3/30/2128 20:00:00",,,445.24,20.89,0,12.58915
"3/30/2128 20:00:00",,,411.39,20.89,0,12.58915
"3/30/2128 20:00:00",,,376.83,20.89,0,12.7016
"3/30/2128 20:00:00",,,345.11,20.89,0,12.7016
"3/30/2128 20:00:00",,,312.80,20.57,0,12.7016
"3/30/2128 20:00:00",,,279.91,20.57,0,12.58915
"3/30/2128 20:00:00",,,250.19,20.57,0,12.58915
"3/30/2128 20:00:00",,,223.80,20.57,0,12.4767
"3/30/2128 20:00:00",,,200.90,20.57,0,12.4767
"3/30/2128 20:00:00",,,179.68,20.57,0,12.4767
"3/30/2128 20:00:00",,,162.16,20.57,0,12.4767
"3/30/2128 20:00:00",,,144.49,20.57,0,12.4767
"3/30/2128 20:00:00",,,128.66,20.57,0,12.36425
"3/30/2128 20:00:00",,,112.72,20.57,0,12.36425
"3/30/2128 20:00:00",,,98.68,20.57,0,12.36425
"3/30/2128 20:00:00",,,86.57,20.57,0,12.36425
"3/30/2128 20:00:00",,,74.40,20.57,0,12.36425
"3/30/2128 20:00:00",,,66.25,20.57,0,12.2518
"3/30/2128 20:00:00",,,27.13,20.57,0,12.2518
"3/30/2128 20:00:00",,,20.90,20.57,0,12.2518
"3/30/2128 20:00:00",,,16.73,20.24,0,12.2518
"3/30/2128 20:00:00",,,12.56,20.57,0,12.36425
"3/30/2128 20:00:00",,,8.38,20.24,0,12.36425
"3/30/2128 20:00:00",,,6.29,20.24,0,12.36425
"3/30/2128 20:00:00",,,4.19,20.24,0,12.36425
"3/30/2128 20:00:00",,,2.10,20.24,0,12.36425
"3/30/2128 20:00:00",,,0.00,20.24,0,12.2518
"3/30/2128 20:00:00",,,0.00,20.24,0,12.4767
"3/30/2128 20:00:00",,,0.00,20.57,0,12.36425
"3/30/2128 20:00:00",,,0.00,20.24,0,12.2518
"3/30/2128 20:00:00",,,0.00,20.24,0,12.36425
"3/30/2128 20:00:00",,,0.00,20.24,0,12.2518
"3/30/2128 20:00:00",,,0.00,20.24,0,12.13935
"3/30/2128 20:00:00",,,0.00,20.24,0,12.0269
