time,latitude,longitude,light,temperature,sound,"temperature probe"
"10/15/2009 17:25:14",42.859905,-71.17672,0.00,-18.75,0,6.06705
"10/15/2009 17:25:15",42.859814,-71.17699,0.00,-18.75,0,6.06705
"10/15/2009 17:25:16",42.85975,-71.177246,0.00,-18.75,0,6.06705
"10/15/2009 17:25:18",42.85967,-71.17751,0.00,-18.75,0,6.06705
"10/15/2009 17:25:19",42.859604,-71.1778,0.00,22.18,0,6.06705
"10/15/2009 17:25:20",42.859512,-71.178085,0.00,-18.75,0,6.06705
"10/15/2009 17:25:21",42.859447,-71.17837,0.00,22.18,0,6.06705
"10/15/2009 17:25:22",42.859367,-71.17866,0.00,-18.75,0,6.06705
"10/15/2009 17:25:23",42.85927,-71.17893,0.00,-18.75,0,6.06705
"10/15/2009 17:25:24",42.859196,-71.179214,0.00,-18.75,0,6.06705
"10/15/2009 17:25:25",42.859097,-71.1795,0.00,-18.75,0,6.06705
"10/15/2009 17:25:26",42.859016,-71.17979,0.00,-19.07,0,6.06705
"10/15/2009 17:25:27",42.858845,-71.18033,0.00,-19.07,0,6.06705
"10/15/2009 17:25:28",42.858765,-71.18062,0.00,-18.75,0,6.06705
"10/15/2009 17:25:29",42.858685,-71.180885,0.00,-18.75,0,6.1795
"10/15/2009 17:25:30",42.858585,-71.18115,0.00,-18.75,0,6.1795
"10/15/2009 17:25:32",42.85852,-71.18141,0.00,-18.75,0,6.1795
"10/15/2009 17:25:33",42.858448,-71.18166,0.00,22.18,0,6.1795
"10/15/2009 17:25:34",42.858364,-71.18193,0.00,-18.75,0,6.1795
"10/15/2009 17:25:35",42.858284,-71.18218,0.00,-18.75,0,6.1795
"10/15/2009 17:25:36",42.85822,-71.18245,0.00,-18.75,0,6.1795
"10/15/2009 17:25:37",42.85813,-71.182686,0.00,-18.75,0,6.1795
"10/15/2009 17:25:38",42.858067,-71.18294,0.00,-18.75,0,6.1795
"10/15/2009 17:25:39",42.857998,-71.183174,0.00,-18.75,0,6.1795
"10/15/2009 17:25:40",42.857933,-71.191666,0.00,-18.75,0,6.1795
"10/15/2009 17:25:41",42.857796,-71.188995,0.00,-18.75,0,6.1795
"10/15/2009 17:25:42",42.857746,-71.191505,0.00,-19.07,0,6.1795
"10/15/2009 17:25:43",42.85768,-71.19383,0.00,-18.75,0,6.1795
"10/15/2009 17:25:45",42.857616,-71.19633,0.00,-18.75,0,6.1795
"10/15/2009 17:25:46",42.85755,-71.19884,0.00,-18.75,0,6.1795
"10/15/2009 17:25:47",42.857502,-71.185135,0.00,-18.75,0,6.1795
"10/15/2009 17:25:48",42.85743,-71.1854,0.00,-18.75,0,6.1795
"10/15/2009 17:25:49",42.857365,-71.18565,0.00,-18.75,0,6.1795
"10/15/2009 17:25:50",42.8573,-71.18588,0.00,-18.75,0,6.1795
"10/15/2009 17:25:51",42.85725,-71.18612,0.00,-18.75,0,6.1795
"10/15/2009 17:25:52",42.857185,-71.186356,0.00,-18.75,0,6.1795
"10/15/2009 17:25:53",42.857113,-71.18658,0.00,-18.75,0,6.1795
"10/15/2009 17:25:54",42.857063,-71.18681,0.00,-19.07,0,6.1795
"10/15/2009 17:25:55",42.85692,-71.187294,0.00,22.18,0,6.1795
"10/15/2009 17:25:56",42.856853,-71.187546,0.00,-18.75,0,6.1795
"10/15/2009 17:25:57",42.856762,-71.18778,0.00,-18.75,0,6.1795
"10/15/2009 17:25:59",42.856697,-71.188034,0.00,-19.07,0,6.1795
"10/15/2009 17:26:00",42.856617,-71.18826,0.00,-18.75,0,6.1795
"10/15/2009 17:26:01",42.856552,-71.188515,0.00,-18.75,0,6.1795
"10/15/2009 17:26:02",42.856487,-71.18875,0.00,-18.75,0,6.1795
"10/15/2009 17:26:03",42.85641,-71.18901,0.00,-18.75,0,6.1795
"10/15/2009 17:26:04",42.85633,-71.18926,0.00,-19.07,0,6.1795
"10/15/2009 17:26:05",42.856266,-71.18952,0.00,-18.75,0,6.1795
"10/15/2009 17:26:06",42.8562,-71.18977,0.00,-18.75,0,6.1795
"10/15/2009 17:26:07",42.856136,-71.189995,0.00,-18.75,0,6.1795
"10/15/2009 17:26:08",42.856064,-71.19023,0.00,-18.75,0,6.1795
"10/15/2009 17:26:09",42.855934,-71.19071,0.00,-18.75,0,6.1795
