time,light,"temperature probe"
"11/5/2009 14:59:34",218.10,9.66545
"11/5/2009 14:59:35",220.00,9.66545
"11/5/2009 14:59:36",214.29,9.66545
"11/5/2009 14:59:37",220.00,9.66545
"11/5/2009 14:59:38",218.10,9.66545
"11/5/2009 14:59:39",218.10,9.7779
"11/5/2009 14:59:40",216.19,9.7779
"11/5/2009 14:59:41",223.80,9.7779
"11/5/2009 14:59:43",218.10,9.7779
"11/5/2009 14:59:44",212.38,9.7779
"11/5/2009 14:59:45",220.00,9.7779
"11/5/2009 14:59:46",220.00,9.7779
"11/5/2009 14:59:47",220.00,9.7779
"11/5/2009 14:59:48",220.00,9.7779
"11/5/2009 14:59:49",223.80,9.7779
"11/5/2009 14:59:50",221.90,9.7779
"11/5/2009 14:59:51",218.10,9.7779
"11/5/2009 14:59:52",221.90,9.7779
"11/5/2009 14:59:53",220.00,9.7779
"11/5/2009 14:59:54",220.00,9.7779
"11/5/2009 14:59:55",218.10,9.7779
"11/5/2009 14:59:56",218.10,9.7779
"11/5/2009 14:59:57",218.10,9.7779
"11/5/2009 14:59:58",223.80,9.7779
"11/5/2009 15:00:00",221.90,9.7779
"11/5/2009 15:00:01",220.00,9.7779
"11/5/2009 15:00:02",221.90,9.7779
"11/5/2009 15:00:03",218.10,9.7779
"11/5/2009 15:00:04",202.82,9.7779
"11/5/2009 15:00:05",193.21,9.7779
"11/5/2009 15:00:06",220.00,9.7779
"11/5/2009 15:00:07",216.19,9.7779
"11/5/2009 15:00:08",218.10,9.7779
"11/5/2009 15:00:09",221.90,9.7779
"11/5/2009 15:00:10",220.00,9.7779
"11/5/2009 15:00:11",220.00,9.7779
"11/5/2009 15:00:12",218.10,9.7779
"11/5/2009 15:00:13",220.00,9.7779
"11/5/2009 15:00:14",218.10,9.7779
"11/5/2009 15:00:16",214.29,9.7779
"11/5/2009 15:00:17",212.38,9.89035
"11/5/2009 15:00:18",220.00,9.89035
"11/5/2009 15:00:19",216.19,9.89035
"11/5/2009 15:00:20",216.19,9.89035
"11/5/2009 15:00:21",218.10,9.89035
"11/5/2009 15:00:22",214.29,9.89035
"11/5/2009 15:00:23",212.38,9.89035
"11/5/2009 15:00:24",216.19,9.89035
"11/5/2009 15:00:25",216.19,9.89035
"11/5/2009 15:00:26",218.10,9.89035
"11/5/2009 15:00:27",221.90,9.89035
"11/5/2009 15:00:28",220.00,9.89035
"11/5/2009 15:00:29",216.19,9.89035
"11/5/2009 15:00:30",223.80,9.89035
"11/5/2009 15:00:32",223.80,9.89035
"11/5/2009 15:00:33",218.10,9.89035
"11/5/2009 15:00:34",225.69,9.89035
"11/5/2009 15:00:35",225.69,9.89035
"11/5/2009 15:00:36",218.10,9.89035
"11/5/2009 15:00:37",218.10,9.89035
"11/5/2009 15:00:38",225.69,9.89035
"11/5/2009 15:00:39",218.10,9.89035
"11/5/2009 15:00:40",220.00,9.89035
"11/5/2009 15:00:41",214.29,9.89035
"11/5/2009 15:00:42",221.90,9.89035
"11/5/2009 15:00:43",216.19,9.89035
"11/5/2009 15:00:44",218.10,9.89035
"11/5/2009 15:00:45",220.00,9.89035
"11/5/2009 15:00:46",223.80,9.89035
"11/5/2009 15:00:48",216.19,9.89035
"11/5/2009 15:00:49",221.90,9.89035
"11/5/2009 15:00:50",221.90,9.89035
"11/5/2009 15:00:51",216.19,9.89035
"11/5/2009 15:00:52",220.00,9.89035
"11/5/2009 15:00:53",223.80,9.89035
"11/5/2009 15:00:54",216.19,9.89035
"11/5/2009 15:00:55",220.00,9.89035
"11/5/2009 15:00:56",218.10,10.0028
"11/5/2009 15:00:57",221.90,10.0028
"11/5/2009 15:00:58",216.19,10.0028
"11/5/2009 15:00:59",185.49,10.0028
"11/5/2009 15:01:00",189.35,10.0028
"11/5/2009 15:01:01",185.49,10.0028
"11/5/2009 15:01:02",185.49,10.0028
"11/5/2009 15:01:04",185.49,10.0028
