time,latitude,longitude,light,acceleration,altitude,pedometer
04/08/2010 10:29:32,42.78737,-71.10706,12.56,1.02,53,2
04/08/2010 10:29:33,42.787388,-71.10706,35.42,1.09,53,1
04/08/2010 10:29:34,42.78737,-71.10708,27.13,1.02,52,2
04/08/2010 10:29:35,42.787388,-71.10708,4.19,1.13,53,2
04/08/2010 10:29:37,42.787388,-71.10708,6.29,0.82,54,1
04/08/2010 10:29:38,42.787388,-71.10708,10.47,0.98,55,2
04/08/2010 10:29:39,42.787403,-71.10706,96.66,1.05,55,0
04/08/2010 10:29:40,42.787388,-71.10705,154.33,0.94,56,0
04/08/2010 10:29:41,42.787403,-71.10705,160.20,0.98,56,0
04/08/2010 10:29:43,42.787388,-71.10705,185.49,0.98,55,0
04/08/2010 10:29:44,42.78737,-71.10706,221.90,0.94,54,0
04/08/2010 10:29:45,42.78737,-71.10708,160.20,0.98,53,0
04/08/2010 10:29:46,42.78734,-71.10711,12.56,1.09,51,1
04/08/2010 10:29:47,42.78731,-71.10708,33.35,1.13,54,0
04/08/2010 10:29:49,42.78731,-71.10706,8.38,1.13,56,0
