time,latitude,longitude,acceleration,light,temperature,sound,"cricket temperature probe"
"10/15/2009 14:45:24",42.902622,-71.07255,0.98,12.56,-14.88,0,28.10725
"10/15/2009 14:45:25",42.902622,-71.07255,0.98,12.56,-14.88,0,28.10725
"10/15/2009 14:45:26",42.902622,-71.07255,0.98,12.56,-14.56,0,28.10725
"10/15/2009 14:45:27",42.902622,-71.07256,0.98,12.56,-14.56,0,28.10725
"10/15/2009 14:45:28",42.902622,-71.07256,0.98,12.56,-14.56,0,28.10725
"10/15/2009 14:45:29",42.902622,-71.07256,0.98,12.56,-14.56,0,28.10725
"10/15/2009 14:45:30",42.902622,-71.07256,0.98,12.56,-14.56,0,28.10725
"10/15/2009 14:45:31",42.902622,-71.07256,0.98,12.56,-14.56,0,28.10725
"10/15/2009 14:45:32",42.902596,-71.07256,0.98,12.56,-14.56,0,28.10725
"10/15/2009 14:45:33",42.902596,-71.07256,1.02,12.56,-14.56,0,28.10725
"10/15/2009 14:45:34",42.902596,-71.07256,0.98,12.56,-14.56,0,28.10725
"10/15/2009 14:45:35",42.902596,-71.07256,0.98,12.56,-14.56,0,28.2197
"10/15/2009 14:45:36",42.902622,-71.07256,0.98,12.56,-14.56,0,28.10725
"10/15/2009 14:45:38",42.902596,-71.07256,0.98,12.56,-14.56,0,28.10725
"10/15/2009 14:45:39",42.902596,-71.07256,0.98,16.73,-14.56,0,28.10725
"10/15/2009 14:45:40",42.902596,-71.07256,0.98,27.13,-14.24,0,28.2197
"10/15/2009 14:45:41",42.902596,-71.07256,0.98,29.21,-14.56,0,28.2197
"10/15/2009 14:45:42",42.902596,-71.07256,0.98,31.28,-14.56,0,28.2197
"10/15/2009 14:45:43",42.902596,-71.072586,0.98,31.28,-14.24,0,28.2197
"10/15/2009 14:45:44",42.902596,-71.072586,0.98,31.28,-14.24,0,28.2197
"10/15/2009 14:45:45",42.902596,-71.072586,0.98,31.28,-14.24,0,28.2197
"10/15/2009 14:45:46",42.902596,-71.072586,0.98,31.28,-14.24,0,28.2197
"10/15/2009 14:45:47",42.902596,-71.07256,0.98,31.28,-14.24,0,28.2197
"10/15/2009 14:45:48",42.902622,-71.07256,0.98,31.28,-14.24,0,28.2197
"10/15/2009 14:45:49",42.902622,-71.07256,0.98,31.28,-14.24,0,28.2197
"10/15/2009 14:45:50",42.902622,-71.07256,0.98,31.28,-14.24,0,28.2197
"10/15/2009 14:45:51",42.902622,-71.07256,0.98,31.28,-14.24,0,28.2197
"10/15/2009 14:45:53",42.902622,-71.07256,0.98,31.28,-14.24,0,28.2197
"10/15/2009 14:45:54",42.902622,-71.07255,0.98,31.28,-14.24,0,28.2197
"10/15/2009 14:45:55",42.902622,-71.07255,0.98,31.28,-14.24,0,28.2197
"10/15/2009 14:45:56",42.902622,-71.07255,0.98,31.28,-14.24,0,28.2197
"10/15/2009 14:45:57",42.902622,-71.07255,0.98,31.28,-14.24,0,28.2197
"10/15/2009 14:45:58",42.902622,-71.07255,0.98,29.21,-14.24,0,28.2197
"10/15/2009 14:45:59",42.902622,-71.07255,0.98,25.06,-14.24,0,28.2197
"10/15/2009 14:46:00",42.902622,-71.07255,0.98,20.90,-14.24,0,28.2197
"10/15/2009 14:46:01",42.902622,-71.07255,1.02,16.73,-14.24,0,28.2197
"10/15/2009 14:46:02",,,0.98,12.56,-14.24,0,28.2197
"10/15/2009 14:46:02",42.902622,-71.07255,0.98,12.56,-13.92,0,28.2197
"10/15/2009 14:46:04",42.902622,-71.07256,0.98,12.56,-13.92,0,28.2197
"10/15/2009 14:46:05",42.902622,-71.07255,0.98,12.56,-13.92,0,28.2197
"10/15/2009 14:46:07",42.902622,-71.07255,0.98,12.56,-13.92,0,28.2197
